version = 6
CPU 0 is empty
CPU 1 is empty
CPU 2 is empty
cpus=4
       ether_ros-3990  [003]  8697.957652: funcgraph_entry:                   |  ecrt_master_receive() {
       ether_ros-3990  [003]  8697.957663: funcgraph_entry:                   |    kernel_recvmsg() {
       ether_ros-3990  [003]  8697.957664: funcgraph_entry:        1.221 us   |      __skb_recv_datagram();
       ether_ros-3990  [003]  8697.957668: funcgraph_exit:         4.390 us   |    }
       ether_ros-3990  [003]  8697.957669: funcgraph_entry:                   |    kernel_recvmsg() {
       ether_ros-3990  [003]  8697.957669: funcgraph_entry:        0.325 us   |      __skb_recv_datagram();
       ether_ros-3990  [003]  8697.957670: funcgraph_exit:         1.039 us   |    }
       ether_ros-3990  [003]  8697.957671: funcgraph_exit:         8.832 us   |  }
       ether_ros-3990  [003]  8697.957685: funcgraph_entry:                   |  ecrt_master_send() {
       ether_ros-3990  [003]  8697.957687: funcgraph_entry:                   |    kernel_sendmsg() {
       ether_ros-3990  [003]  8697.957692: funcgraph_entry:        1.549 us   |      e1000_xmit_frame();
       ether_ros-3990  [003]  8697.957695: funcgraph_exit:         8.536 us   |    }
       ether_ros-3990  [003]  8697.957696: funcgraph_exit:       + 10.524 us  |  }
 irq/33-enp5s0-r-2502  [003]  8697.957786: funcgraph_entry:        0.437 us   |  e1000_intr_msix_rx();
 irq/33-enp5s0-r-2502  [003]  8697.957792: funcgraph_entry:                   |  net_rx_action() {
 irq/33-enp5s0-r-2502  [003]  8697.957794: funcgraph_entry:        1.747 us   |    napi_gro_receive();
 irq/33-enp5s0-r-2502  [003]  8697.957798: funcgraph_exit:         6.570 us   |  }
 irq/33-enp5s0-r-2502  [003]  8697.957800: funcgraph_entry:                   |  net_rx_action() {
 irq/33-enp5s0-r-2502  [003]  8697.957801: funcgraph_entry:                   |    __netif_receive_skb_core() {
 irq/33-enp5s0-r-2502  [003]  8697.957802: funcgraph_entry:        0.906 us   |      packet_rcv();
 irq/33-enp5s0-r-2502  [003]  8697.957803: funcgraph_exit:         2.345 us   |    }
 irq/33-enp5s0-r-2502  [003]  8697.957804: funcgraph_exit:         3.828 us   |  }
       ether_ros-3990  [003]  8697.961628: funcgraph_entry:                   |  ecrt_master_receive() {
       ether_ros-3990  [003]  8697.961630: funcgraph_entry:                   |    kernel_recvmsg() {
       ether_ros-3990  [003]  8697.961631: funcgraph_entry:        1.132 us   |      __skb_recv_datagram();
       ether_ros-3990  [003]  8697.961635: funcgraph_exit:         4.261 us   |    }
       ether_ros-3990  [003]  8697.961636: funcgraph_entry:                   |    kernel_recvmsg() {
       ether_ros-3990  [003]  8697.961637: funcgraph_entry:        0.293 us   |      __skb_recv_datagram();
       ether_ros-3990  [003]  8697.961637: funcgraph_exit:         1.047 us   |    }
       ether_ros-3990  [003]  8697.961638: funcgraph_exit:         8.095 us   |  }
       ether_ros-3990  [003]  8697.961652: funcgraph_entry:                   |  ecrt_master_send() {
       ether_ros-3990  [003]  8697.961654: funcgraph_entry:                   |    kernel_sendmsg() {
       ether_ros-3990  [003]  8697.961659: funcgraph_entry:        1.507 us   |      e1000_xmit_frame();
       ether_ros-3990  [003]  8697.961662: funcgraph_exit:         8.233 us   |    }
       ether_ros-3990  [003]  8697.961663: funcgraph_exit:       + 10.311 us  |  }
 irq/33-enp5s0-r-2502  [003]  8697.961758: funcgraph_entry:        0.534 us   |  e1000_intr_msix_rx();
 irq/33-enp5s0-r-2502  [003]  8697.961761: funcgraph_entry:                   |  net_rx_action() {
 irq/33-enp5s0-r-2502  [003]  8697.961763: funcgraph_entry:        1.852 us   |    napi_gro_receive();
 irq/33-enp5s0-r-2502  [003]  8697.961769: funcgraph_exit:         7.422 us   |  }
 irq/33-enp5s0-r-2502  [003]  8697.961771: funcgraph_entry:                   |  net_rx_action() {
 irq/33-enp5s0-r-2502  [003]  8697.961772: funcgraph_entry:                   |    __netif_receive_skb_core() {
 irq/33-enp5s0-r-2502  [003]  8697.961774: funcgraph_entry:        1.113 us   |      packet_rcv();
 irq/33-enp5s0-r-2502  [003]  8697.961776: funcgraph_exit:         3.175 us   |    }
 irq/33-enp5s0-r-2502  [003]  8697.961776: funcgraph_exit:         5.171 us   |  }
       ether_ros-3990  [003]  8697.965656: funcgraph_entry:                   |  ecrt_master_receive() {
       ether_ros-3990  [003]  8697.965658: funcgraph_entry:                   |    kernel_recvmsg() {
       ether_ros-3990  [003]  8697.965659: funcgraph_entry:        1.141 us   |      __skb_recv_datagram();
       ether_ros-3990  [003]  8697.965662: funcgraph_exit:         4.203 us   |    }
       ether_ros-3990  [003]  8697.965664: funcgraph_entry:                   |    kernel_recvmsg() {
       ether_ros-3990  [003]  8697.965664: funcgraph_entry:        0.299 us   |      __skb_recv_datagram();
       ether_ros-3990  [003]  8697.965665: funcgraph_exit:         1.054 us   |    }
       ether_ros-3990  [003]  8697.965666: funcgraph_exit:         8.226 us   |  }
       ether_ros-3990  [003]  8697.965680: funcgraph_entry:                   |  ecrt_master_send() {
       ether_ros-3990  [003]  8697.965681: funcgraph_entry:                   |    kernel_sendmsg() {
       ether_ros-3990  [003]  8697.965687: funcgraph_entry:        1.509 us   |      e1000_xmit_frame();
       ether_ros-3990  [003]  8697.965690: funcgraph_exit:         8.190 us   |    }
       ether_ros-3990  [003]  8697.965691: funcgraph_exit:       + 10.173 us  |  }
 irq/33-enp5s0-r-2502  [003]  8697.965786: funcgraph_entry:        0.509 us   |  e1000_intr_msix_rx();
 irq/33-enp5s0-r-2502  [003]  8697.965788: funcgraph_entry:                   |  net_rx_action() {
 irq/33-enp5s0-r-2502  [003]  8697.965790: funcgraph_entry:        1.901 us   |    napi_gro_receive();
 irq/33-enp5s0-r-2502  [003]  8697.965796: funcgraph_exit:         6.912 us   |  }
 irq/33-enp5s0-r-2502  [003]  8697.965797: funcgraph_entry:                   |  net_rx_action() {
 irq/33-enp5s0-r-2502  [003]  8697.965798: funcgraph_entry:                   |    __netif_receive_skb_core() {
 irq/33-enp5s0-r-2502  [003]  8697.965799: funcgraph_entry:        0.966 us   |      packet_rcv();
 irq/33-enp5s0-r-2502  [003]  8697.965801: funcgraph_exit:         2.508 us   |    }
 irq/33-enp5s0-r-2502  [003]  8697.965801: funcgraph_exit:         3.981 us   |  }
       ether_ros-3990  [003]  8697.969630: funcgraph_entry:                   |  ecrt_master_receive() {
       ether_ros-3990  [003]  8697.969632: funcgraph_entry:                   |    kernel_recvmsg() {
       ether_ros-3990  [003]  8697.969633: funcgraph_entry:        1.159 us   |      __skb_recv_datagram();
       ether_ros-3990  [003]  8697.969637: funcgraph_exit:         4.345 us   |    }
       ether_ros-3990  [003]  8697.969638: funcgraph_entry:                   |    kernel_recvmsg() {
       ether_ros-3990  [003]  8697.969638: funcgraph_entry:        0.303 us   |      __skb_recv_datagram();
       ether_ros-3990  [003]  8697.969640: funcgraph_exit:         1.057 us   |    }
       ether_ros-3990  [003]  8697.969648: funcgraph_exit:       + 15.896 us  |  }
       ether_ros-3990  [003]  8697.969662: funcgraph_entry:                   |  ecrt_master_send() {
       ether_ros-3990  [003]  8697.969664: funcgraph_entry:                   |    kernel_sendmsg() {
       ether_ros-3990  [003]  8697.969670: funcgraph_entry:        1.577 us   |      e1000_xmit_frame();
       ether_ros-3990  [003]  8697.969673: funcgraph_exit:         8.596 us   |    }
       ether_ros-3990  [003]  8697.969673: funcgraph_exit:       + 10.612 us  |  }
 irq/33-enp5s0-r-2502  [003]  8697.969726: funcgraph_entry:        0.477 us   |  e1000_intr_msix_rx();
 irq/33-enp5s0-r-2502  [003]  8697.969728: funcgraph_entry:                   |  net_rx_action() {
 irq/33-enp5s0-r-2502  [003]  8697.969730: funcgraph_entry:        1.756 us   |    napi_gro_receive();
 irq/33-enp5s0-r-2502  [003]  8697.969735: funcgraph_exit:         6.437 us   |  }
 irq/33-enp5s0-r-2502  [003]  8697.969736: funcgraph_entry:                   |  net_rx_action() {
 irq/33-enp5s0-r-2502  [003]  8697.969737: funcgraph_entry:                   |    __netif_receive_skb_core() {
 irq/33-enp5s0-r-2502  [003]  8697.969738: funcgraph_entry:        0.879 us   |      packet_rcv();
 irq/33-enp5s0-r-2502  [003]  8697.969739: funcgraph_exit:         2.247 us   |    }
 irq/33-enp5s0-r-2502  [003]  8697.969740: funcgraph_exit:         3.610 us   |  }
       ether_ros-3990  [003]  8697.973627: funcgraph_entry:                   |  ecrt_master_receive() {
       ether_ros-3990  [003]  8697.973629: funcgraph_entry:                   |    kernel_recvmsg() {
       ether_ros-3990  [003]  8697.973630: funcgraph_entry:        1.152 us   |      __skb_recv_datagram();
       ether_ros-3990  [003]  8697.973634: funcgraph_exit:         4.252 us   |    }
       ether_ros-3990  [003]  8697.973635: funcgraph_entry:                   |    kernel_recvmsg() {
       ether_ros-3990  [003]  8697.973636: funcgraph_entry:        0.301 us   |      __skb_recv_datagram();
       ether_ros-3990  [003]  8697.973637: funcgraph_exit:         1.045 us   |    }
       ether_ros-3990  [003]  8697.973637: funcgraph_exit:         8.243 us   |  }
       ether_ros-3990  [003]  8697.973652: funcgraph_entry:                   |  ecrt_master_send() {
       ether_ros-3990  [003]  8697.973653: funcgraph_entry:                   |    kernel_sendmsg() {
       ether_ros-3990  [003]  8697.973659: funcgraph_entry:        1.581 us   |      e1000_xmit_frame();
       ether_ros-3990  [003]  8697.973662: funcgraph_exit:         8.607 us   |    }
       ether_ros-3990  [003]  8697.973663: funcgraph_exit:       + 10.649 us  |  }
 irq/33-enp5s0-r-2502  [003]  8697.973759: funcgraph_entry:        0.529 us   |  e1000_intr_msix_rx();
 irq/33-enp5s0-r-2502  [003]  8697.973762: funcgraph_entry:                   |  net_rx_action() {
 irq/33-enp5s0-r-2502  [003]  8697.973764: funcgraph_entry:        1.869 us   |    napi_gro_receive();
 irq/33-enp5s0-r-2502  [003]  8697.973769: funcgraph_exit:         6.866 us   |  }
 irq/33-enp5s0-r-2502  [003]  8697.973770: funcgraph_entry:                   |  net_rx_action() {
 irq/33-enp5s0-r-2502  [003]  8697.973771: funcgraph_entry:                   |    __netif_receive_skb_core() {
 irq/33-enp5s0-r-2502  [003]  8697.973773: funcgraph_entry:        0.935 us   |      packet_rcv();
 irq/33-enp5s0-r-2502  [003]  8697.973774: funcgraph_exit:         2.423 us   |    }
 irq/33-enp5s0-r-2502  [003]  8697.973775: funcgraph_exit:         3.934 us   |  }
       ether_ros-3990  [003]  8697.977628: funcgraph_entry:                   |  ecrt_master_receive() {
       ether_ros-3990  [003]  8697.977630: funcgraph_entry:                   |    kernel_recvmsg() {
       ether_ros-3990  [003]  8697.977631: funcgraph_entry:        1.143 us   |      __skb_recv_datagram();
       ether_ros-3990  [003]  8697.977635: funcgraph_exit:         4.302 us   |    }
       ether_ros-3990  [003]  8697.977636: funcgraph_entry:                   |    kernel_recvmsg() {
       ether_ros-3990  [003]  8697.977636: funcgraph_entry:        0.305 us   |      __skb_recv_datagram();
       ether_ros-3990  [003]  8697.977637: funcgraph_exit:         1.108 us   |    }
       ether_ros-3990  [003]  8697.977638: funcgraph_exit:         8.200 us   |  }
       ether_ros-3990  [003]  8697.977652: funcgraph_entry:                   |  ecrt_master_send() {
       ether_ros-3990  [003]  8697.977654: funcgraph_entry:                   |    kernel_sendmsg() {
       ether_ros-3990  [003]  8697.977659: funcgraph_entry:        1.583 us   |      e1000_xmit_frame();
       ether_ros-3990  [003]  8697.977663: funcgraph_exit:         8.630 us   |    }
       ether_ros-3990  [003]  8697.977663: funcgraph_exit:       + 10.817 us  |  }
 irq/33-enp5s0-r-2502  [003]  8697.977761: funcgraph_entry:        0.556 us   |  e1000_intr_msix_rx();
 irq/33-enp5s0-r-2502  [003]  8697.977763: funcgraph_entry:                   |  net_rx_action() {
 irq/33-enp5s0-r-2502  [003]  8697.977766: funcgraph_entry:        1.947 us   |    napi_gro_receive();
 irq/33-enp5s0-r-2502  [003]  8697.977771: funcgraph_exit:         6.928 us   |  }
 irq/33-enp5s0-r-2502  [003]  8697.977772: funcgraph_entry:                   |  net_rx_action() {
 irq/33-enp5s0-r-2502  [003]  8697.977773: funcgraph_entry:                   |    __netif_receive_skb_core() {
 irq/33-enp5s0-r-2502  [003]  8697.977774: funcgraph_entry:        0.975 us   |      packet_rcv();
 irq/33-enp5s0-r-2502  [003]  8697.977776: funcgraph_exit:         2.503 us   |    }
 irq/33-enp5s0-r-2502  [003]  8697.977776: funcgraph_exit:         3.969 us   |  }
       ether_ros-3990  [003]  8697.981630: funcgraph_entry:                   |  ecrt_master_receive() {
       ether_ros-3990  [003]  8697.981632: funcgraph_entry:                   |    kernel_recvmsg() {
       ether_ros-3990  [003]  8697.981633: funcgraph_entry:        1.140 us   |      __skb_recv_datagram();
       ether_ros-3990  [003]  8697.981637: funcgraph_exit:         4.267 us   |    }
       ether_ros-3990  [003]  8697.981638: funcgraph_entry:                   |    kernel_recvmsg() {
       ether_ros-3990  [003]  8697.981639: funcgraph_entry:        0.290 us   |      __skb_recv_datagram();
       ether_ros-3990  [003]  8697.981640: funcgraph_exit:         1.045 us   |    }
       ether_ros-3990  [003]  8697.981640: funcgraph_exit:         8.279 us   |  }
       ether_ros-3990  [003]  8697.981654: funcgraph_entry:                   |  ecrt_master_send() {
       ether_ros-3990  [003]  8697.981656: funcgraph_entry:                   |    kernel_sendmsg() {
       ether_ros-3990  [003]  8697.981662: funcgraph_entry:        1.584 us   |      e1000_xmit_frame();
       ether_ros-3990  [003]  8697.981665: funcgraph_exit:         8.697 us   |    }
       ether_ros-3990  [003]  8697.981666: funcgraph_exit:       + 10.694 us  |  }
 irq/33-enp5s0-r-2502  [003]  8697.981763: funcgraph_entry:        0.454 us   |  e1000_intr_msix_rx();
 irq/33-enp5s0-r-2502  [003]  8697.981770: funcgraph_entry:                   |  net_rx_action() {
 irq/33-enp5s0-r-2502  [003]  8697.981772: funcgraph_entry:        1.837 us   |    napi_gro_receive();
 irq/33-enp5s0-r-2502  [003]  8697.981777: funcgraph_exit:         6.818 us   |  }
 irq/33-enp5s0-r-2502  [003]  8697.981779: funcgraph_entry:                   |  net_rx_action() {
 irq/33-enp5s0-r-2502  [003]  8697.981780: funcgraph_entry:                   |    __netif_receive_skb_core() {
 irq/33-enp5s0-r-2502  [003]  8697.981781: funcgraph_entry:        0.952 us   |      packet_rcv();
 irq/33-enp5s0-r-2502  [003]  8697.981782: funcgraph_exit:         2.463 us   |    }
 irq/33-enp5s0-r-2502  [003]  8697.981783: funcgraph_exit:         3.881 us   |  }
       ether_ros-3990  [003]  8697.985653: funcgraph_entry:                   |  ecrt_master_receive() {
       ether_ros-3990  [003]  8697.985655: funcgraph_entry:                   |    kernel_recvmsg() {
       ether_ros-3990  [003]  8697.985656: funcgraph_entry:        1.155 us   |      __skb_recv_datagram();
       ether_ros-3990  [003]  8697.985660: funcgraph_exit:         4.150 us   |    }
       ether_ros-3990  [003]  8697.985661: funcgraph_entry:                   |    kernel_recvmsg() {
       ether_ros-3990  [003]  8697.985661: funcgraph_entry:        0.298 us   |      __skb_recv_datagram();
       ether_ros-3990  [003]  8697.985662: funcgraph_exit:         1.040 us   |    }
       ether_ros-3990  [003]  8697.985663: funcgraph_exit:         7.930 us   |  }
